Release_Date,Title,Popularity,Vote_Count,Vote_Average,Original_Language,Genre
15-12-2021,Spider-Man: No Way Home,5083.95,8940.00,8.30,en,"Action, Adventure, Science Fiction"
01-03-2022,The Batman,3827.66,1151.00,8.10,en,"Crime, Mystery, Thriller"
25-02-2022,No Exit,2618.09,122.00,6.30,en,Thriller
24-11-2021,Encanto,2402.20,5076.00,7.70,en,"Animation, Comedy, Family, Fantasy"
22-12-2021,The King's Man,1895.51,1793.00,7.00,en,"Action, Adventure, Thriller, War"
07-01-2022,The Commando,1750.48,33.00,6.60,en,"Action, Crime, Thriller"
12-01-2022,Scream,1675.16,821.00,6.80,en,"Horror, Mystery, Thriller"
10-02-2022,Kimi,1601.78,206.00,6.30,en,Thriller
17-02-2022,Fistful of Vengeance,1594.01,114.00,5.30,en,"Action, Crime, Fantasy"
03-11-2021,Eternals,1537.41,4726.00,7.20,en,Science Fiction
18-02-2022,Pursuit,1500.52,16.00,5.90,en,"Action, Crime, Thriller"
06-08-2021,My Hero Academia: World Heroes' Mission,1485.06,100.00,7.30,ja,"Animation, Action, Fantasy, Adventure"
25-02-2022,Restless,1468.38,107.00,5.90,fr,"Action, Thriller, Crime"
02-12-2021,Nightmare Alley,1455.14,952.00,7.10,en,"Crime, Drama, Thriller"
28-01-2022,The Ice Age Adventures of Buck Wild,1431.31,737.00,7.10,en,"Animation, Comedy, Adventure, Family"
25-02-2022,Hotel Transylvania: Transformania,1373.78,288.00,7.00,en,"Animation, Family, Fantasy, Comedy, Adventure"
18-02-2022,Texas Chainsaw Massacre,1312.79,521.00,5.10,en,Horror
28-01-2022,The Requin,1252.32,65.00,4.60,en,Thriller
04-02-2022,Looop Lapeta,1240.95,31.00,6.00,hi,"Action, Comedy, Crime"
04-11-2021,Red Notice,1178.54,3193.00,6.80,en,"Action, Comedy, Crime, Thriller"
01-12-2021,Sing 2,1112.90,2172.00,8.20,en,"Animation, Comedy, Family, Music"
03-01-2022,The Jack in the Box: Awakening,1096.79,43.00,5.40,en,Horror
30-09-2021,Venom: Let There Be Carnage,1053.62,6539.00,7.10,en,"Science Fiction, Action, Adventure"
16-12-2021,The Matrix Resurrections,941.02,3160.00,6.80,en,"Science Fiction, Action, Adventure"
24-11-2021,Resident Evil: Welcome to Raccoon City,881.09,1312.00,6.10,en,"Horror, Action, Science Fiction"
19-10-2021,Last Man Down,869.61,318.00,6.30,en,"Action, Thriller"
07-01-2022,American Siege,867.33,49.00,5.40,en,"Action, Thriller, Crime, Drama"
10-02-2022,Uncharted,866.39,691.00,7.10,en,"Action, Adventure"
16-10-2020,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,845.99,2224.00,8.40,ja,"Animation, Action, Adventure, Fantasy"
11-11-2021,Ghostbusters: Afterlife,839.90,2225.00,7.70,en,"Fantasy, Comedy, Adventure"
05-01-2022,The 355,781.75,313.00,6.10,en,"Action, Thriller"
01-09-2021,Shang-Chi and the Legend of the Ten Rings,769.19,5845.00,7.70,en,"Action, Adventure, Fantasy"
09-02-2022,Marry Me,761.79,230.00,6.90,en,"Romance, Comedy, Music"
21-01-2022,The Hunting,761.13,10.00,5.80,en,Horror
08-12-2021,West Side Story,678.19,562.00,7.40,en,"Drama, Romance, Crime"
04-02-2022,Through My Window,659.11,1331.00,7.80,es,"Romance, Drama"
02-07-2021,The Seven Deadly Sins: Cursed by Light,647.54,312.00,8.00,ja,"Animation, Fantasy"
05-11-2021,One Shot,622.24,382.00,6.80,en,Action
24-01-2022,Tom and Jerry: Cowboy Up!,614.11,163.00,7.10,en,"Animation, Comedy, Family, Western"
15-10-2020,Chernobyl: Abyss,601.96,314.00,6.20,ru,"Drama, History, Adventure"
25-02-2022,Desperate Riders,590.47,10.00,6.80,en,"Western, Action"
10-11-2021,Clifford the Big Red Dog,585.01,1100.00,7.30,en,"Family, Adventure, Comedy, Fantasy"
25-02-2022,Tyler Perry's A Madea Homecoming,577.59,42.00,6.70,en,Comedy
01-07-2021,The Boss Baby: Family Business,567.42,1785.00,7.60,en,"Animation, Comedy, Adventure, Family"
10-03-2022,Turning Red,564.51,8.00,8.60,en,"Animation, Family, Comedy, Fantasy"
13-01-2022,Brazen,553.14,211.00,4.80,en,"Thriller, Mystery, Drama"
14-01-2022,The House,551.65,432.00,7.10,en,"Animation, Drama, Comedy, Horror"
10-02-2022,Blacklight,533.90,88.00,5.10,en,"Action, Thriller"
15-10-2021,Ron's Gone Wrong,509.28,1000.00,8.10,en,"Animation, Science Fiction, Family, Comedy"
11-08-2021,Free Guy,447.87,5158.00,7.70,en,"Comedy, Action, Adventure, Science Fiction"
26-05-2021,Cruella,429.61,6675.00,8.20,en,"Comedy, Crime"
28-07-2021,The Suicide Squad,424.98,5689.00,7.70,en,"Action, Adventure, Fantasy"
12-11-2021,The Simpsons in Plusaversary,418.59,251.00,6.60,en,"Animation, Comedy, Fantasy"
17-01-2022,Forgive Us Our Trespasses,409.69,27.00,6.30,en,"Drama, War"
17-06-2021,Luca,408.75,5886.00,8.00,en,"Animation, Comedy, Family, Fantasy"
07-04-2021,Mortal Kombat,402.27,4447.00,7.20,en,"Action, Fantasy, Adventure"
18-03-2021,Zack Snyder's Justice League,398.46,7414.00,8.30,en,"Action, Adventure, Fantasy, Science Fiction"
17-12-2021,Mother/Android,398.12,422.00,5.80,en,"Science Fiction, Thriller"
04-11-1986,Exploits of a Young Don Juan,396.95,88.00,5.50,fr,"Comedy, Drama"
15-09-2021,Dune,394.30,6237.00,7.90,en,"Science Fiction, Adventure"
01-01-2021,The Last Warrior: Root of Evil,391.96,89.00,7.10,ru,"Fantasy, Adventure, Comedy"
09-02-2022,The Privilege,387.92,104.00,5.10,de,Horror
11-06-2021,Queen of Spades,387.16,37.00,6.40,en,Horror
28-10-2021,Antlers,380.88,544.00,6.40,en,"Drama, Horror, Mystery"
05-11-2021,Dangerous,379.86,175.00,6.40,en,"Action, Thriller"
01-09-2021,After We Fell,365.85,1563.00,7.20,en,"Romance, Drama"
29-09-2021,No Time to Die,360.16,3616.00,7.50,en,"Adventure, Action, Thriller"
05-11-2021,Sooryavanshi,352.37,93.00,5.80,hi,"Action, Crime, Thriller"
04-11-2021,Finch,348.94,2075.00,8.10,en,"Science Fiction, Drama, Adventure"
23-07-2021,Two,342.66,207.00,5.40,es,"Thriller, Horror"
09-08-2021,PAW Patrol: The Movie,339.37,855.00,7.50,en,"Animation, Family, Adventure, Comedy"
25-04-2018,Avengers: Infinity War,338.40,24079.00,8.30,en,"Adventure, Action, Science Fiction"
23-06-1989,Batman,338.27,6109.00,7.20,en,"Fantasy, Action"
07-07-2021,Black Widow,337.65,7127.00,7.50,en,"Action, Adventure, Science Fiction"
18-02-2022,The Wonderful Winter of Mickey Mouse,333.35,3.00,5.70,en,"Animation, Comedy"
19-05-2021,F9,331.94,5092.00,7.30,en,"Action, Crime, Thriller, Adventure"
